YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201504,93137,564718,3,3.01,"NW","HAYSVILLE",37.9246,-86.2955,3755476,8617730
201504,93137,564718,4,3.56,"SSE","PAYNEVILLE",37.9299,-86.3047,3755794,8618282
201504,93137,564719,1,.58,"NE","CENTERFIELD",38.3549,-85.3913,3821294,8523478
201504,93137,564719,2,.46,"WNW","WORTH",38.3519,-85.3882,3821114,8523292
201504,93137,564719,3,.39,"N","WORTH",38.3556,-85.3802,3821336,8522812
201504,93137,564719,4,.61,"NW","WORTH",38.3563,-85.3879,3821378,8523274
201504,93137,564720,1,2.94,"S","MONITOR",38.6076,-85.2676,3836456,8516056
201504,93137,564720,2,2.89,"S","MONITOR",38.6084,-85.2653,3836504,8515918
201504,93137,564720,3,3.05,"S","MONITOR",38.6065,-85.261,3836390,8515660
201504,93137,564720,4,3.13,"S","MONITOR",38.6049,-85.2635,3836294,8515810
201504,93137,564721,1,.73,"NW","PEAKS MILL",38.3075,-84.8295,3818450,8449770
201504,93137,564721,2,.8,"NNW","PEAKS MILL",38.3097,-84.828,3818582,8449680
201504,93137,564721,3,.74,"NNW","PEAKS MILL",38.3102,-84.8239,3818612,8449434
201504,93137,564721,4,.74,"N","PEAKS MILL",38.3108,-84.8208,3818648,8449248
201503,92636,555248,3,.4,"N","BUNINGHAM",39.1759,-82.0198,3910554,821188
201503,92636,555248,4,2.01,"WSW","MIDDLEPORT",38.9861,-82.083,3859166,824980
201503,92637,555249,1,0,"N","SOUTH SHORE",38.72,-82.97,3843200,8258200
201503,92637,555249,2,1.29,"NNW","SILOAM",38.7482,-82.9056,3844892,8254336
201503,92637,555249,3,1.35,"E","SILOAM",38.7268,-82.8754,3843608,8252524
201503,92637,555249,4,.39,"NNW","EDGINGTON",38.6852,-82.8826,3841112,8252956
201503,92637,555249,5,.64,"SE","GRAYS BRANCH",38.6432,-82.8622,3838592,8251732
201503,92637,555249,6,1.05,"WNW","GREENUP",38.5858,-82.8479,3835148,8250874
201503,92637,555249,7,.45,"SE","WORTHINGTON",38.5454,-82.7142,3832724,8242852
201503,92637,555249,8,3.48,"SW","GREENUP",38.546,-82.8774,3832760,8252644
201503,92637,555474,1,0,"N","WESTWOOD",38.48,-82.67,3828800,8240200
201503,92637,555474,2,1.1,"NE","WESTWOOD",38.4909,-82.6552,3829454,8239312
201503,92637,555474,3,.81,"E","ASHLAND",38.4715,-82.6152,3828290,8236912
201503,92637,555474,4,1.71,"N","CATLETTSBURG",38.4444,-82.6053,3826664,8236318
201503,92637,555474,5,.3,"SE","CATLETTSBURG",38.4175,-82.5955,3825050,8235730
201503,92637,555474,6,1.53,"SSE","CATLETTSBURG",38.3983,-82.5945,3823898,8235670
201503,92637,555474,7,1.91,"S","CATLETTSBURG",38.3924,-82.5993,3823544,8235958
201503,92645,556337,1,5.61,"WNW","EAGLE ROCK",36.5855,-93.841,3635130,9350460
201503,92645,556337,2,5.11,"WNW","EAGLE ROCK",36.5778,-93.8353,3634668,9350118
201503,92645,556337,3,4.44,"WNW","EAGLE ROCK",36.5778,-93.8221,3634668,9349326
201503,92645,556337,4,5.51,"WNW","EAGLE ROCK",36.593,-93.8336,3635580,9350016
201503,92645,556338,1,2.21,"E","AVA",36.95,-92.61,3657000,9236600
201503,92645,556338,2,1.91,"E","AVA",36.9511,-92.6154,3657066,9236924
201503,92645,556338,3,2.39,"E","AVA",36.9457,-92.6071,3656742,9236426
201503,92645,556338,4,2.57,"E","AVA",36.9457,-92.6037,3656742,9236222
201503,92645,556339,1,2.43,"W","AVA MUNI MEML ARPT",36.9654,-92.7237,3657924,9243422
201503,92645,556339,2,2.6,"W","AVA MUNI MEML ARPT",36.9638,-92.7264,3657828,9243584
201503,92645,556339,3,2.67,"W","AVA MUNI MEML ARPT",36.9645,-92.7278,3657870,9243668
201503,92645,556339,4,2.57,"W","AVA MUNI MEML ARPT",36.9661,-92.7263,3657966,9243578
201503,92645,556340,1,1.77,"NE","ANN",37.05,-92.18,373000,9210800
201503,92645,556340,2,1.92,"NE","ANN",37.0529,-92.1802,373174,9210812
201503,92645,556340,3,1.52,"NNE","ANN",37.049,-92.1861,372940,9211166
201503,92645,556340,4,1.59,"NE","ANN",37.0486,-92.183,372916,9210980
201503,92645,556341,1,3.33,"E","LANTON",36.52,-91.74,3631200,9144400
201503,92645,556341,2,3.32,"E","LANTON",36.5172,-91.7402,3631032,9144412
201503,92645,556341,3,3.45,"E","LANTON",36.5175,-91.738,3631050,9144280
201503,92645,556341,4,3.45,"E","LANTON",36.5199,-91.7378,3631194,9144268
201503,92645,556342,1,0,"N","NOEL",36.55,-94.48,3633000,9428800
201503,92645,556342,2,.14,"SW","NOEL",36.5484,-94.4815,3632904,9428890
201503,92645,556342,3,.17,"WSW","NOEL",36.5487,-94.4827,3632922,9428962
201503,92645,556342,4,.09,"WNW","NOEL",36.5506,-94.4815,3633036,9428890
201503,92645,556343,1,1.5,"W","CALM",36.5496,-91.1971,3632976,9111826
201503,92645,556343,2,1.29,"W","CALM",36.5532,-91.1929,3633192,9111574
201503,92645,556343,3,.68,"WNW","CALM",36.5537,-91.1814,3633222,9110884
201503,92645,556343,4,1.31,"WSW","CALM",36.5461,-91.1931,3632766,9111586
201503,92645,556344,1,1.87,"SSE","COUCH",36.5739,-91.3706,3634434,9122236
201503,92645,556344,2,2.05,"SSE","COUCH",36.5715,-91.3702,3634290,9122212
201503,92645,556344,3,1.9,"SSE","COUCH",36.5731,-91.3733,3634386,9122398
201503,92645,556344,4,1.77,"SSE","COUCH",36.5753,-91.3717,3634518,9122302
201503,92645,556345,1,4.17,"NE","MANSFIELD",37.1655,-92.5303,379930,9231818
201503,92645,556345,2,4.24,"NE","MANSFIELD",37.1655,-92.5282,379930,9231692
201503,92645,556345,3,4.3,"NE","MANSFIELD",37.1665,-92.5283,379990,9231698
201503,92645,556345,4,4.27,"NE","MANSFIELD",37.1668,-92.5294,3710008,9231764
201503,92649,567007,1,.63,"S","GRIGGSTOWN",40.441,-74.6186,4026460,7437116
201503,92649,567007,2,.87,"SSE","GRIGGSTOWN",40.4393,-74.6114,4026358,7436684
201503,92649,567007,3,1,"SSE","GRIGGSTOWN",40.4366,-74.6129,4026196,7436774
201503,92649,567007,4,.78,"S","GRIGGSTOWN",40.4387,-74.6199,4026322,7437194
201503,92655,555257,1,1.17,"N","GRESHAM",32.2469,-95.3483,3214814,9520898
201503,92655,555257,2,1.94,"W","COPLEN",32.2453,-95.3128,3214718,9518768
201503,92655,555257,3,2.16,"ENE","GRESHAM",32.2378,-95.3143,3214268,9518858
201503,92655,555257,4,.72,"NNE","GRESHAM",32.2401,-95.3469,3214406,9520814
201503,92655,555260,1,1.4,"ENE","TENNERYVILLE",32.5359,-94.777,3232154,9446620
201503,92655,555260,2,2.85,"N","LONGVIEW EASTSIDE AR",32.5405,-94.6905,3232430,9441430
201503,92655,555260,3,2.16,"SSE","LONGVIEW EASTSIDE AR",32.471,-94.6864,3228260,9441184
201503,92655,555260,4,.7,"ESE","BODIE",32.4664,-94.7688,3227984,9446128
201503,92655,555261,1,4.58,"WSW","BULLARD",32.1083,-95.4039,326498,9524234
201503,92655,555261,2,2.77,"S","REESE",31.9802,-95.3861,3158812,9523166
201503,92655,555261,3,2.03,"S","TUCULA",31.9907,-95.2171,3159442,9513026
201503,92655,555261,4,3.44,"NNW","MIXON",32.1234,-95.2487,327404,9514922
201503,92655,555262,1,1.8,"NNW","CRIMCREST",32.1719,-94.8367,3210314,9450202
201503,92655,555262,2,2.47,"NE","HENDERSON",32.1748,-94.7694,3210488,9446164
201503,92655,555262,3,2.13,"ESE","HENDERSON",32.1358,-94.7677,328148,9446062
201503,92655,555262,4,1.16,"SSW","CRIMCREST",32.1344,-94.8275,328064,9449650
201503,92655,555263,1,2.45,"N","TATUM",32.335,-94.5132,3220100,9430792
201503,92655,555263,2,2.63,"NNE","TATUM",32.3358,-94.5045,3220148,9430270
201503,92655,555263,3,1.49,"NNE","TATUM",32.3183,-94.5064,3219098,9430384
201503,92655,555263,4,1.4,"NNE","TATUM",32.3192,-94.5121,3219152,9430726
201503,92655,555264,1,3.2,"NNW","MARSHALL",32.5712,-94.3952,3234272,9423712
201503,92655,555264,2,1.59,"ESE","MARSHALL NORTHEAST",32.5685,-94.3063,3234110,9418378
201503,92655,555264,3,.87,"WSW","MARSHALL ARPT",32.5162,-94.3142,3230972,9418852
201503,92655,555264,4,1.8,"WSW","MARSHALL",32.522,-94.3993,3231320,9423958
201503,92655,555265,1,1.68,"SSE","RIDERVILLE",32.1765,-94.3726,3210590,9422356
201503,92655,555265,2,1.14,"NW","CARTHAGE CO ARPT",32.1806,-94.3149,3210836,9418894
201503,92655,555265,3,2.48,"S","CARTHAGE CO ARPT",32.1344,-94.3053,328064,9418318
201503,92655,555265,4,1.56,"SW","CARTHAGE",32.1338,-94.3684,328028,9422104
201503,92656,555266,1,4.31,"NNE","REEDS STORE",32.2275,-93.7716,3213650,9346296
201503,92656,555266,2,4.16,"WSW","FRIERSON",32.2299,-93.7672,3213794,9346032
201503,92656,555266,3,4.11,"WSW","FRIERSON",32.2285,-93.7656,3213710,9345936
201503,92656,555266,4,4.27,"NNE","REEDS STORE",32.2266,-93.7705,3213596,9346230
201503,92656,555267,1,2.45,"N","LOLA",31.8854,-93.7805,3153124,9346830
201503,92656,555267,2,2.9,"N","LOLA",31.892,-93.7808,3153520,9346848
201503,92656,555267,3,.77,"SE","CATUNA",31.8922,-93.7106,3153532,9342636
201503,92656,555267,4,1.08,"NW","BENSON",31.8823,-93.7113,3152938,9342678
201503,92656,555268,1,1.74,"NW","SHREVEPORT",32.5,-93.7683,3230000,9346098
201503,92656,555268,2,2.28,"ENE","SHREVEPORT",32.4942,-93.7148,3229652,9342888
201504,93137,564721,5,.71,"N","PEAKS MILL",38.3102,-84.8178,3818612,8449068
201504,93137,564721,6,.72,"NNE","PEAKS MILL",38.31,-84.816,3818600,8448960
201504,93137,564721,7,.66,"NNE","PEAKS MILL",38.3087,-84.8148,3818522,8448888
201504,93137,564721,8,.51,"NNE","PEAKS MILL",38.307,-84.8171,3818420,8449026
201504,93137,569455,1,.96,"SSE","PARIS",38.2083,-84.2404,3812498,8414424
201504,93137,569455,2,.98,"SE","PARIS",38.2104,-84.2368,3812624,8414208
201504,93137,569455,3,1.24,"SE","PARIS",38.2069,-84.2345,3812414,8414070
201504,93137,569455,4,1.41,"SSE","PARIS",38.2023,-84.237,3812138,8414220
201504,93137,569455,5,1.34,"SSE","PARIS",38.2023,-84.2397,3812138,8414382
201504,93137,569456,1,.5,"NNW","CYNTHIANA",38.3869,-84.3027,3823214,8418162
201504,93137,569456,2,.66,"N","CYNTHIANA",38.3894,-84.2981,3823364,8417886
201504,93137,569456,3,1.24,"N","CYNTHIANA",38.3979,-84.297,3823874,8417820
201504,93137,569456,4,1.26,"N","CYNTHIANA",38.3981,-84.3033,3823886,8418198
201504,93137,569456,5,.98,"NNW","CYNTHIANA",38.3931,-84.3069,3823586,8418414
201504,93137,569457,1,2.07,"NE","OAKLAND MILLS",38.4199,-84.0015,3825194,8490
201504,93137,569457,2,2.04,"ENE","OAKLAND MILLS",38.4158,-83.9981,3824948,8359886
201504,93137,569457,3,2.42,"NE","OAKLAND MILLS",38.4202,-83.9935,3825212,8359610
201504,93137,569457,4,2.37,"NE","OAKLAND MILLS",38.4233,-83.998,3825398,8359880
201504,93137,569458,1,2.12,"WSW","BOSTON",37.767,-85.7052,3746020,8542312
201504,93137,569458,2,1.99,"WSW","BOSTON",37.7688,-85.7035,3746128,8542210
201504,93137,569458,3,1.98,"WSW","BOSTON",37.7653,-85.701,3745918,8542060
201504,93137,569458,4,2.12,"WSW","BOSTON",37.7641,-85.7033,3745846,8542198
201504,93137,569459,1,.9,"N","SHAKERTOWN",37.833,-84.7288,3749980,8443728
201504,93137,569459,2,1.2,"NE","SHAKERTOWN",37.8335,-84.7163,3750010,8442978
201504,93137,569459,3,.83,"E","SHAKERTOWN",37.8207,-84.7149,3749242,8442894
201504,93137,569459,4,.3,"SE","SHAKERTOWN",37.8174,-84.7257,3749044,8443542
201504,93137,569460,1,1.4,"SSE","CHOATEVILLE",38.2027,-84.8866,3812162,8453196
201504,93137,569460,2,1.7,"SE","CHOATEVILLE",38.2001,-84.8817,3812006,8452902
201504,93137,569460,3,1.54,"WNW","FRANKFORT",38.2055,-84.8775,3812330,8452650
201504,93137,569460,4,1.4,"SE","CHOATEVILLE",38.206,-84.8814,3812360,8452884
201504,93137,569461,1,.66,"NNE","LOCKPORT",38.4392,-84.9666,3826352,8457996
201504,93137,569461,2,.75,"NE","LOCKPORT",38.4386,-84.9617,3826316,8457702
201504,93137,569461,3,1.22,"NNE","LOCKPORT",38.4449,-84.9579,3826694,8457474
201504,93137,569461,4,1.23,"NNE","LOCKPORT",38.4462,-84.9606,3826772,8457636
201504,93137,569462,1,.25,"SW","DAVIDSON",37.5473,-86.7231,3732838,8643386
201504,93137,569462,2,.3,"S","DAVIDSON",37.5457,-86.7209,3732742,8643254
201504,93137,569462,3,.23,"ESE","DAVIDSON",37.5486,-86.7163,3732916,8642978
201504,93137,569462,4,.09,"WSW","DAVIDSON",37.5495,-86.7216,3732970,8643296
201504,93137,569466,1,77.41,"W","KELTNER",37.2145,-86.8983,3712870,8653898
201504,93137,569466,2,77.35,"W","KELTNER",37.2127,-86.8976,3712762,8653856
201504,93137,569466,3,77.1,"W","KELTNER",37.2162,-86.8925,3712972,8653550
201504,93137,569466,4,77.22,"W","KELTNER",37.2172,-86.8946,3713032,8653676
201504,93137,569469,1,.98,"ENE","WOODBURY",37.1861,-86.6339,3711166,8638034
201504,93137,569469,2,1.22,"ENE","WOODBURY",37.1878,-86.6301,3711268,8637806
201504,93137,569469,3,1.33,"E","WOODBURY",37.1833,-86.6262,3710998,8637572
201504,93137,569469,4,1.04,"E","WOODBURY",37.1816,-86.6312,3710896,8637872
201504,93138,564388,1,1.38,"N","ALTON",38.14,-86.42,388400,8625200
201504,93138,564389,1,0,"N","ALTON",38.12,-86.42,387200,8625200
201504,93138,564390,1,.88,"SW","CORYDON",38.21,-86.13,3812600,867800
201504,93138,564391,1,1.09,"W","FREDONIA",38.18,-86.4,3810800,8624000
201504,93138,564392,1,0,"N","CLARKSVILLE",38.32,-85.77,3819200,8546200
201504,93138,564393,1,0,"N","BONNENBURGER",38.28,-85.75,3816800,8545000
201504,93138,564758,1,.54,"E","MIFFLIN",38.3,-86.52,3818000,8631200
201504,93138,564758,2,.18,"WSW","MIFFLIN",38.299,-86.5331,3817940,8631986
201504,93138,564758,3,.43,"SE","MIFFLIN",38.2956,-86.5245,3817736,8631470
201504,93138,564758,4,.59,"ESE","MIFFLIN",38.297,-86.5198,3817820,8631188
201504,93138,564759,1,.55,"SSW","ST ANTHONY",38.3124,-86.8332,3818744,8649992
201504,93138,564759,2,.91,"WNW","ST MARKS",38.3066,-86.8345,3818396,8650070
201504,93138,564759,3,.6,"NW","ST MARKS",38.3063,-86.8276,3818378,8649656
201504,93138,564759,4,.56,"S","ST ANTHONY",38.3119,-86.8292,3818714,8649752
201504,93138,564760,1,.54,"E","ENGLISH",38.33,-86.46,3819800,8627600
201504,93138,564760,2,.42,"NNE","ENGLISH",38.3357,-86.4672,3820142,8628032
201504,93138,564760,3,.62,"NE","ENGLISH",38.3367,-86.4622,3820202,8627732
201504,93138,564760,4,.64,"ENE","ENGLISH",38.333,-86.4589,3819980,8627534
201504,93138,564761,1,2.15,"W","HUNTINGBURG",38.3003,-86.9896,3818018,8659376
201504,93138,564761,2,2.13,"W","HUNTINGBURG",38.2943,-86.9885,3817658,8659310
201504,93138,564761,3,1.33,"WSW","HUNTINGBURG",38.2955,-86.9738,3817730,8658428
201504,93138,564761,4,1.56,"W","HUNTINGBURG",38.3015,-86.9787,3818090,8658722
201504,93138,564762,1,1.77,"ENE","SIBERIA",38.24,-86.7,3814400,8642000
201504,93138,564762,2,1.06,"ENE","SIBERIA",38.2374,-86.7128,3814244,8642768
201504,93138,564762,3,1.36,"NE","SIBERIA",38.2445,-86.713,3814670,8642780
201504,93138,564762,4,1.63,"NE","SIBERIA",38.2453,-86.7071,3814718,8642426
201504,93138,564763,1,.53,"SW","ELIZABETH",38.1149,-85.9773,386894,8558638
201504,93138,564763,2,.53,"SSE","ELIZABETH",38.113,-85.9661,386780,8557966
201504,93138,564763,3,.73,"NNE","ELIZABETH",38.1292,-85.9634,387752,8557804
201504,93138,564763,4,.56,"WNW","ELIZABETH",38.1244,-85.9787,387464,8558722
201504,93138,564764,1,3.86,"E","FERDINAND",38.21,-86.8,3812600,8648000
201504,93138,564764,2,3.67,"ESE","FERDINAND",38.1988,-86.808,3811928,8648480
201504,93138,564764,3,4.86,"ESE","FERDINAND",38.2014,-86.7838,3812084,8647028
201504,93138,564764,4,4.72,"E","FERDINAND",38.2108,-86.7838,3812648,8647028
201504,93138,564765,1,1.45,"W","HILLCREST",38.2003,-86.1466,3812018,868796
201504,93138,564765,2,1.51,"W","HILLCREST",38.2036,-86.1474,3812216,868844
201504,93138,564765,3,1.29,"WNW","HILLCREST",38.205,-86.1429,3812300,868574
201504,93138,564765,4,1.2,"W","HILLCREST",38.2005,-86.142,3812030,868520
201504,93138,569453,1,1.37,"WNW","DEPUTY",38.8042,-85.6748,3848252,8540488
201504,93138,569453,2,1.27,"W","DEPUTY",38.8031,-85.6733,3848186,8540398
201504,93138,569453,3,1.2,"WNW","DEPUTY",38.8058,-85.671,3848348,8540260
201504,93138,569453,4,1.36,"WNW","DEPUTY",38.8061,-85.6741,3848366,8540446
201504,93138,569454,1,13.45,"W","BORDEN",38.4332,-86.194,3825992,8611640
201504,93138,569454,2,13.33,"WSW","BORDEN",38.432,-86.1915,3825920,8611490
201504,93138,569454,3,13.05,"W","BORDEN",38.4366,-86.1874,3826196,8611244
201504,93138,569454,4,13.28,"W","BORDEN",38.4375,-86.192,3826250,8611520
201503,93139,558850,1,.61,"NW","WILLIAMSTOWN",38.6358,-84.5585,3838148,8433510
201503,93141,558847,1,2.06,"SSW","OREGONIA",39.4218,-84.1125,3925308,846750
201503,93141,558847,2,2.07,"S","OREGONIA",39.4205,-84.1063,3925230,846378
201503,93141,558847,3,1.99,"S","OREGONIA",39.4216,-84.1061,3925296,846366
201501,91258,547092,1,.17,"ESE","FLORENCE",34.7988,-87.6674,3447928,8740044
201501,91258,547092,2,.21,"ESE","FLORENCE",34.7991,-87.6665,3447946,8739990
201501,91258,547092,3,.26,"ESE","FLORENCE",34.7983,-87.666,3447898,8739960
201501,91258,547092,4,.23,"SE","FLORENCE",34.7979,-87.6669,3447874,8740014
201501,91258,547092,5,.82,"SSW","FLORENCE",34.7884,-87.6731,3447304,8740386
201501,91258,547092,6,.61,"SSW","FLORENCE",34.7926,-87.6759,3447556,8740554
201501,91258,559276,1,.75,"WNW","ALBERTVILLE",34.2738,-86.2324,3416428,8613944
201501,91258,559276,2,.81,"N","ALBERTVILLE",34.2818,-86.2197,3416908,8613182
201501,91258,560004,1,1.5,"SE","RABBIT TOWN",34.2645,-86.2516,3415870,8615096
201501,91258,560004,2,1.54,"SE","HUSTLERVILLE",34.3049,-86.1503,3418294,869018
201501,91259,555980,1,2.05,"SE","CUMBERLAND SPGS",35.3084,-86.2753,3518504,8616518
201501,91259,555980,2,2.09,"SE","CUMBERLAND SPGS",35.3089,-86.2735,3518534,8616410
201501,91259,555980,3,2.13,"SE","CUMBERLAND SPGS",35.3082,-86.2732,3518492,8616392
201501,91259,555980,4,2.09,"SE","CUMBERLAND SPGS",35.3077,-86.2749,3518462,8616494
201501,91270,552424,1,1.9,"ENE","LEWES DE",38.783,-75.119,3846980,757140
201501,91270,552425,1,.99,"SSW","NORTH CAPE MAY",38.968,-74.96,3858080,7457600
201501,91270,552427,1,17.77,"N","BOWERS BEACH DE",39.305,-75.377,3918300,7522620
201501,91270,552428,1,2.07,"SW","OCEAN CITY",39.2554,-74.602,3915324,7436120
201501,91270,552429,1,4.17,"WSW","BEACH HAVEN",39.5218,-74.3191,3931308,7419146
201501,91276,552409,1,0,"N","MILLVILLE",39.4,-75.03,3924000,751800
201501,91276,552410,1,.88,"SSW","OCEAN CITY MUNI ARPT",39.2584,-74.6068,3915504,7436408
201501,91281,547133,1,1.46,"SW","LEAVENWORTH",47.5878,-120.6756,4735268,12040536
201501,91281,547133,2,1.43,"SW","LEAVENWORTH",47.588,-120.6749,4735280,12040494
201501,91281,547133,3,1.44,"SW","LEAVENWORTH",47.5876,-120.6747,4735256,12040482
201501,91281,547133,4,1.46,"SW","LEAVENWORTH",47.5875,-120.6753,4735250,12040518
201501,91288,547093,1,2.37,"SSE","LANGFORDS XRDS",34.17,-80.88,3410200,8052800
201501,91288,547094,1,.9,"NW","CAMDEN",34.26,-80.61,3415600,8036600
201501,91288,547094,2,.48,"SSE","BETHUNE",34.4133,-80.3478,3424798,8020868
201501,91288,547587,1,1.25,"NW","ASHLEIGH",33.3113,-81.3369,3318678,8120214
201501,91417,550941,1,1.79,"NNW","HAYES",31.522,-85.086,3131320,855160
201501,91417,550941,2,1.73,"NNW","HAYES",31.5244,-85.0769,3131464,854614
201501,91417,550942,1,1.31,"WSW","PINCKARD",31.304,-85.561,3118240,8533660
